Data taken from https://www.sustainablejersey.com/fileadmin/media/resources/Data_Center/Community_Profile_Data_by_Municipality_3.12.25.xlsx ,,,,,Population Characteristics,,,,,,,,,,,,,C&I Properties,General Housing Characteristics,,,,,,Units by Year Structure Built*,,,,,,,,,,Units by Structure Type,,,,,,,,,Occupied Housing Units Primary Heating Fuels,,,,,,,,,Vehicles Available by Occupied Household,,,,Means of Transportation to Work,,,,,,,
Municipality,County,ACS Year,Square Miles,Residential Density (Housing Units / Sq Mile),Population,% White,% Black or African American,% Hispanic or Latino Origin*,% American Indian and Alaska Native,% Asian alone,% Native Hawaiian and Other Pacific Islander alone,% Some other race alone,% Two or more races,Median Household Income,Percent of Population in Poverty,NJ DCA MRI Score*,NJ DCA MRI Rank*,Commercial & Industrial Properties,Total Housing Units*,Total Occupied Housing Units,% Occupied housing units,% Owner-occupied,% Renter-occupied,<75% Occupied*,2020 or later,2010 to 2019 *,2000 to 2009,1990 to 1999,1980 to 1989,1970 to 1979,1960 to 1969,1950 to 1959,1940 to 1949,1939 or earlier,"1-unit, detached","1-unit, attached",2 units,3 or 4 units,5 to 9 units,10 to 19 units,20 or more,Mobile home,"Boat, RV, van, etc.",Utility gas,Electricity,"Bottled, tank, or LP gas","Fuel oil, kerosene, etc.",Coal or coke,Wood,Solar Energy,Other fuel,No fuel used,No vehicles available,1 vehicle available,2 vehicles available,3 or more vehicles available,Total Workers 16 Years and Over,"Car, truck, or van -- drove alone","Car, truck, or van -- carpooled",Public transportation (excluding taxicab),Walked,Other means,Worked from home,Mean travel time to work (minutes)
Beachwood Boro,Ocean,2023,2.8,"1,493","11,002",78.20%,3.70%,14.30%,0.00%,1.10%,0.00%,0.00%,2.70%,"$102,043",5.10%,29.5,257,78,"4,180","3,965",95%,90%,10%,,15,132,118,437,944,"1,112",572,352,260,238,"4,107",37,18,13,5,0,0,0,0,84.30%,3.90%,1.40%,9.70%,0.00%,0.70%,0.00%,0.00%,0.00%,170,755,"1,688","1,352","5,683",90.70%,3.90%,1.00%,0.20%,0.30%,3.90%,33.1
Bedminster Twp,Somerset,2023,26.1,166,"8,227",71.70%,2.00%,11.40%,0.00%,8.90%,0.20%,0.00%,5.80%,"$113,292",4.90%,21.1,445,131,"4,343","4,261",98%,79%,21%,,0,32,159,783,"2,519",148,111,250,94,247,"1,204","1,827",155,116,427,492,122,0,0,60.70%,22.10%,4.40%,12.50%,0.00%,0.00%,0.10%,0.20%,0.00%,31,"2,246","1,168",816,"4,689",68.50%,3.90%,1.10%,3.20%,0.00%,23.40%,30.4
Belleville Twp,Essex,2023,3.3,"4,601","37,756",29.90%,5.30%,53.10%,0.00%,8.20%,0.00%,0.90%,2.60%,"$90,249",10.40%,39.7,111,599,"15,183","14,176",93%,56%,44%,,48,268,472,362,868,"1,969","1,696","1,746","2,380","5,374","6,250",814,"3,101","1,382",802,"1,280","1,530",24,0,76.30%,12.80%,3.40%,5.10%,0.10%,0.00%,0.00%,0.70%,1.70%,"1,381","5,344","4,965","2,486","18,994",70.90%,10.20%,8.60%,2.50%,1.70%,6.20%,32.3
Bellmawr Boro,Camden,2023,3,"1,706","11,678",70.30%,4.30%,13.70%,0.00%,7.20%,0.00%,0.40%,4.10%,"$74,812",9.60%,40.9,99,169,"5,118","4,918",96%,64%,36%,,10,77,43,98,294,464,"1,503","1,430",815,384,"3,059",854,99,117,23,351,558,57,0,77.50%,18.20%,0.00%,2.60%,0.00%,0.70%,0.00%,0.30%,0.70%,392,"2,039","1,670",817,"5,424",79.00%,7.80%,1.00%,2.90%,0.00%,9.30%,23.9
Belmar Boro,Monmouth,2023,1,"3,835","5,861",78.40%,2.90%,16.80%,0.00%,0.80%,0.00%,0.80%,0.30%,"$92,859",8.60%,30,247,143,"3,835","2,791",73%,49%,51%,Yes,0,266,265,169,173,442,505,730,221,"1,064","1,894",273,445,297,130,203,584,9,0,73.10%,22.70%,1.60%,2.70%,0.00%,0.00%,0.00%,0.00%,0.00%,342,"1,135",878,436,"3,380",67.20%,9.60%,3.90%,3.10%,4.50%,11.70%,32.9
Belvidere Town,Warren,2023,1.4,871,"2,526",89.50%,0.10%,7.90%,0.30%,0.60%,0.00%,0.00%,1.60%,"$100,334",9.10%,40.8,102,78,"1,220","1,200",98%,53%,47%,,0,0,19,68,89,107,35,179,99,624,697,47,228,94,51,11,92,0,0,34.80%,12.20%,1.80%,48.30%,0.00%,0.50%,0.00%,2.40%,0.00%,174,461,399,166,"1,405",74.40%,6.30%,0.50%,12.20%,1.90%,4.60%,32.4
Bergenfield Boro,Bergen,2023,2.9,"3,337","28,269",33.00%,8.40%,30.20%,0.00%,26.40%,0.00%,0.30%,1.60%,"$124,083",6.10%,28.8,271,318,"9,677","9,430",97%,71%,29%,,40,367,387,262,501,580,"1,167","3,040","1,637","1,696","6,761",245,"1,068",298,258,394,653,0,0,78.80%,11.90%,4.20%,3.70%,0.00%,0.00%,0.00%,0.80%,0.60%,772,"3,095","3,548","2,015","14,400",71.00%,7.20%,11.20%,1.50%,1.30%,7.80%,32.8
Berkeley Heights Twp,Union,2023,6.2,781,"13,121",67.90%,2.70%,7.40%,0.30%,19.50%,0.00%,0.30%,2.00%,"$198,750",2.00%,15.8,541,139,"4,843","4,660",96%,96%,5%,,35,103,281,593,268,509,"1,170","1,483",179,222,"4,157",423,22,0,48,36,157,0,0,91.70%,4.50%,0.80%,2.40%,0.00%,0.00%,0.00%,0.30%,0.20%,128,971,"2,431","1,130","6,287",58.10%,4.10%,9.70%,1.40%,1.50%,25.20%,36.6
Berkeley Twp,Ocean,2023,42.7,582,"44,222",84.10%,2.40%,7.50%,0.00%,2.70%,0.10%,0.40%,2.70%,"$63,946",8.00%,36.2,138,240,"24,871","21,698",87%,88%,12%,,53,725,"1,899","2,572","7,005","7,362","2,424","1,651",438,742,"23,321",304,130,227,272,419,117,81,0,87.60%,7.60%,0.80%,3.00%,0.00%,0.10%,0.40%,0.30%,0.30%,"1,897","9,179","7,317","3,305","16,351",80.80%,6.20%,1.20%,0.60%,1.50%,9.70%,34.3
Berlin Boro,Camden,2023,3.6,819,"7,503",75.00%,13.00%,5.60%,0.00%,1.30%,0.00%,2.20%,3.00%,"$101,008",5.90%,30.6,228,164,"2,949","2,828",96%,73%,27%,,143,48,498,247,202,448,227,598,202,336,"1,961",343,98,241,152,44,110,0,0,85.60%,13.10%,0.00%,1.00%,0.00%,0.00%,0.00%,0.00%,0.30%,156,"1,057",928,687,"3,862",85.10%,2.30%,1.50%,2.80%,0.00%,8.30%,35.7
Berlin Twp,Camden,2023,3.3,784,"5,909",68.00%,5.70%,15.50%,0.10%,7.20%,0.00%,0.00%,3.70%,"$74,828",7.10%,30.1,242,412,"2,588","2,524",98%,71%,29%,,13,237,126,86,212,528,718,414,18,236,"1,841",204,98,20,68,215,142,0,0,87.20%,8.20%,0.80%,3.80%,0.00%,0.00%,0.00%,0.00%,0.00%,172,726,"1,160",466,"3,186",83.10%,3.80%,0.00%,2.00%,0.00%,11.00%,34.3
Bernards Twp,Somerset,2023,24.2,439,"27,840",64.40%,1.60%,5.90%,0.00%,24.00%,0.00%,0.30%,3.80%,"$182,480",3.20%,18.7,506,167,"10,629","10,318",97%,83%,17%,,10,433,"1,143","2,710","3,334",690,"1,084",630,160,435,"5,761","2,414",61,777,621,486,509,0,0,84.80%,10.60%,1.60%,2.60%,0.00%,0.00%,0.10%,0.00%,0.20%,370,"3,331","4,237","2,380","12,885",63.90%,2.90%,5.00%,0.40%,1.20%,26.60%,32.6
Bernardsville Boro,Somerset,2023,12.8,218,"7,871",82.20%,0.60%,10.70%,0.00%,2.80%,0.00%,0.20%,3.70%,"$231,006",1.00%,16.2,535,181,"2,787","2,653",95%,90%,10%,,17,147,103,266,394,227,399,383,179,672,"2,430",53,109,97,38,46,14,0,0,78.50%,7.10%,0.60%,12.60%,0.00%,0.00%,0.00%,1.20%,0.00%,50,469,"1,444",690,"4,175",60.90%,3.80%,3.80%,6.50%,1.70%,23.30%,27.5
Bethlehem Twp,Hunterdon,2023,20.7,67,"3,753",86.50%,0.20%,9.00%,0.00%,1.30%,0.00%,0.00%,3.00%,"$163,021",5.10%,21.4,435,33,"1,380","1,340",97%,96%,4%,,0,23,174,251,282,292,37,109,7,205,"1,341",28,0,0,0,0,11,0,0,3.80%,4.30%,31.00%,50.40%,0.70%,8.20%,0.00%,1.60%,0.00%,24,157,607,552,"2,113",70.10%,7.30%,0.50%,0.00%,0.00%,22.10%,34.3
Beverly City,Burlington,2023,0.5,"1,886","2,489",52.90%,24.60%,13.10%,0.00%,0.00%,0.00%,0.00%,9.40%,"$92,807",13.40%,43.6,71,57,943,827,88%,74%,26%,,4,13,21,61,41,40,36,253,74,400,641,146,18,83,38,0,17,0,0,64.20%,24.90%,0.00%,9.80%,0.00%,0.00%,0.60%,0.00%,0.50%,83,207,322,215,"1,008",78.50%,8.90%,2.70%,1.00%,2.50%,6.40%,34.5
Blairstown Twp,Warren,2023,29.9,75,"5,725",88.60%,0.90%,7.60%,0.00%,0.80%,0.00%,0.00%,2.10%,"$127,907",3.20%,27.5,302,130,"2,241","2,132",95%,93%,7%,,0,56,171,273,345,541,327,110,38,380,"2,021",59,103,39,19,0,0,0,0,7.50%,18.50%,4.60%,64.30%,0.00%,2.90%,0.00%,2.30%,0.00%,14,458,988,672,"2,890",75.50%,4.90%,0.00%,3.80%,0.00%,15.70%,37.1
Bloomfield Twp,Essex,2023,5.3,"4,097","52,974",39.40%,16.80%,28.20%,0.10%,9.50%,0.00%,1.90%,4.10%,"$98,811",8.80%,32.3,205,704,"21,713","21,096",97%,52%,48%,,60,"1,646",562,491,"1,190","1,220","2,339","3,304","2,650","8,251","9,118",908,"2,937","2,984",455,"1,223","4,075",13,0,76.90%,13.40%,2.00%,5.70%,0.00%,0.00%,0.30%,1.10%,0.70%,"2,152","9,355","6,865","2,724","28,934",55.90%,8.60%,13.30%,3.20%,1.00%,18.10%,33.6
Bloomingdale Boro,Passaic,2023,8.8,355,"7,686",74.90%,3.90%,19.10%,0.00%,2.20%,0.00%,0.00%,0.00%,"$126,221",10.90%,33.1,192,109,"3,121","3,023",97%,70%,31%,,0,180,106,186,210,234,329,825,255,796,"2,163",96,149,165,98,61,389,0,0,71.00%,12.40%,4.40%,6.10%,2.20%,3.90%,0.00%,0.00%,0.00%,80,988,"1,222",733,"4,210",76.30%,4.40%,1.80%,1.90%,2.40%,13.20%,28.8
Bloomsbury Boro,Hunterdon,2023,0.9,456,805,88.70%,3.50%,3.50%,0.00%,1.20%,0.00%,0.00%,3.10%,"$88,068",4.30%,38.7,117,20,410,379,92%,59%,41%,,0,0,4,17,50,20,19,97,28,175,279,91,15,12,11,0,0,2,0,17.20%,4.50%,5.30%,73.10%,0.00%,0.00%,0.00%,0.00%,0.00%,5,121,163,90,417,84.40%,4.30%,2.90%,0.00%,0.50%,7.90%,36.2
Bogota Boro,Bergen,2023,0.8,"4,004","9,110",27.70%,7.40%,55.40%,0.00%,8.50%,0.00%,0.00%,1.00%,"$107,321",5.60%,29.9,249,103,"3,203","3,125",98%,69%,32%,,96,50,20,133,127,183,304,446,238,"1,606","2,193",127,366,85,65,95,272,0,0,71.60%,13.20%,6.90%,4.30%,0.00%,0.00%,0.40%,1.20%,2.40%,386,"1,013","1,195",531,"4,627",61.30%,16.80%,9.60%,2.60%,2.90%,6.70%,30.8
Boonton Town,Morris,2023,2.3,"1,633","8,803",67.40%,6.10%,14.90%,0.00%,6.20%,0.00%,0.50%,5.00%,"$100,417",7.50%,28.6,279,223,"3,757","3,514",94%,57%,43%,,0,65,80,101,391,255,642,661,275,"1,287","2,091",422,612,285,148,36,163,0,0,74.20%,10.80%,4.20%,10.50%,0.00%,0.00%,0.00%,0.00%,0.30%,249,"1,143","1,396",726,"4,632",78.70%,3.60%,0.60%,1.30%,1.30%,14.50%,24.5
