Data taken from https://www.sustainablejersey.com/fileadmin/media/resources/Data_Center/Community_Profile_Data_by_Municipality_3.12.25.xlsx ,,,,,Population Characteristics,,,,,,,,,,,,,C&I Properties,General Housing Characteristics,,,,,,Units by Year Structure Built*,,,,,,,,,,Units by Structure Type,,,,,,,,,Occupied Housing Units Primary Heating Fuels,,,,,,,,,Vehicles Available by Occupied Household,,,,Means of Transportation to Work,,,,,,,
Municipality,County,ACS Year,Square Miles,Residential Density (Housing Units / Sq Mile),Population,% White,% Black or African American,% Hispanic or Latino Origin*,% American Indian and Alaska Native,% Asian alone,% Native Hawaiian and Other Pacific Islander alone,% Some other race alone,% Two or more races,Median Household Income,Percent of Population in Poverty,NJ DCA MRI Score*,NJ DCA MRI Rank*,Commercial & Industrial Properties,Total Housing Units*,Total Occupied Housing Units,% Occupied housing units,% Owner-occupied,% Renter-occupied,<75% Occupied*,2020 or later,2010 to 2019 *,2000 to 2009,1990 to 1999,1980 to 1989,1970 to 1979,1960 to 1969,1950 to 1959,1940 to 1949,1939 or earlier,"1-unit, detached","1-unit, attached",2 units,3 or 4 units,5 to 9 units,10 to 19 units,20 or more,Mobile home,"Boat, RV, van, etc.",Utility gas,Electricity,"Bottled, tank, or LP gas","Fuel oil, kerosene, etc.",Coal or coke,Wood,Solar Energy,Other fuel,No fuel used,No vehicles available,1 vehicle available,2 vehicles available,3 or more vehicles available,Total Workers 16 Years and Over,"Car, truck, or van -- drove alone","Car, truck, or van -- carpooled",Public transportation (excluding taxicab),Walked,Other means,Worked from home,Mean travel time to work (minutes)
Magnolia Boro,Camden,2023,1,"1,910","4,360",54.60%,16.40%,17.80%,0.00%,8.30%,0.00%,0.00%,2.80%,"$89,489",5.30%,36,141,74,"1,910","1,778",93%,71%,30%,,0,39,83,77,215,99,534,605,86,172,"1,411",0,14,63,35,93,294,0,0,82.70%,10.20%,5.20%,1.00%,0.00%,0.00%,0.00%,1.00%,0.00%,70,790,645,273,"2,259",75.00%,2.70%,5.60%,3.60%,0.50%,12.70%,28.1
Mahwah Twp,Bergen,2023,25.4,396,"25,375",72.00%,2.00%,10.50%,0.10%,11.40%,0.00%,0.30%,3.80%,"$128,125",2.60%,23.5,395,245,"10,058","9,756",97%,81%,19%,,31,263,759,"2,494","3,045","1,037",744,670,199,816,"4,743","2,189",209,658,662,955,484,158,0,85.70%,8.80%,1.70%,3.40%,0.00%,0.10%,0.00%,0.10%,0.20%,362,"3,570","3,833","1,991","13,021",64.00%,4.60%,5.20%,2.90%,1.10%,22.30%,30.7
Manalapan Twp,Monmouth,2023,30.7,494,"40,666",78.70%,2.70%,8.40%,0.00%,7.90%,0.00%,0.20%,2.20%,"$151,297",4.30%,21.2,442,399,"15,154","14,785",98%,88%,12%,,58,"1,030","2,519","2,147","3,296","2,481","2,482",381,201,559,"10,873","1,931",104,237,537,"1,206",225,41,0,81.60%,13.00%,0.50%,3.90%,0.20%,0.10%,0.20%,0.10%,0.30%,560,"3,675","6,653","3,897","20,149",67.50%,5.80%,5.90%,0.60%,1.20%,19.10%,40.6
Manasquan Boro,Monmouth,2023,1.4,"2,409","5,915",90.40%,0.00%,5.60%,0.00%,0.60%,0.00%,0.10%,3.30%,"$156,542",1.80%,19,497,206,"3,372","2,513",75%,86%,14%,,0,365,408,107,256,207,330,329,536,834,"2,879",231,192,54,0,8,8,0,0,92.80%,6.00%,0.00%,1.20%,0.00%,0.00%,0.00%,0.00%,0.00%,33,947,"1,096",437,"3,048",71.90%,4.60%,2.10%,0.70%,1.90%,18.90%,32.2
Manchester Twp,Ocean,2023,81.4,325,"45,527",82.40%,4.80%,8.60%,0.00%,2.20%,0.00%,0.20%,1.80%,"$58,612",9.00%,37.3,128,154,"26,438","23,654",89%,86%,14%,,95,"1,867","2,963","2,437","5,337","8,817","3,306","1,189",168,259,"12,255","5,847","2,338","2,466",488,395,961,"1,688",0,45.50%,47.30%,0.90%,4.20%,0.00%,0.00%,1.20%,0.70%,0.30%,"2,299","12,381","6,853","2,121","15,427",80.80%,4.30%,1.30%,0.30%,2.90%,10.40%,33.2
Mannington Twp,Salem,2023,33.9,16,"1,925",66.40%,27.80%,4.30%,0.00%,0.00%,0.00%,0.00%,1.60%,"$132,917",4.50%,36.6,135,41,527,429,81%,90%,10%,,0,4,41,54,14,77,58,95,2,182,502,8,3,3,1,0,0,10,0,12.60%,6.80%,4.70%,64.80%,0.00%,9.80%,0.70%,0.00%,0.70%,0,45,220,164,730,72.20%,4.20%,0.50%,2.90%,1.60%,18.50%,23.3
Mansfield Twp (Burlington),Burlington,2023,21.7,166,"8,913",69.80%,15.40%,8.50%,0.00%,1.70%,0.00%,0.00%,4.60%,"$108,851",4.20%,23.8,389,96,"3,613","3,428",95%,96%,4%,,0,62,"1,331",690,666,139,177,269,32,247,"3,535",35,0,36,7,0,0,0,0,73.20%,12.00%,4.00%,7.80%,0.00%,0.60%,1.10%,1.40%,0.00%,81,"1,129","1,223",995,"4,219",68.70%,3.80%,8.50%,0.00%,0.50%,18.50%,38.8
Mansfield Twp (Warren),Warren,2023,29.6,106,"7,804",69.60%,4.20%,19.80%,0.10%,2.60%,0.00%,0.00%,3.70%,"$94,432",6.40%,29.2,262,74,"3,140","3,069",98%,60%,40%,,20,70,136,403,"1,013",536,410,158,153,241,"2,007",173,176,73,239,400,72,0,0,48.10%,15.70%,6.60%,27.10%,0.00%,1.80%,0.00%,0.60%,0.00%,68,"1,002","1,070",929,"4,089",77.50%,5.60%,1.50%,0.00%,0.70%,14.70%,30.7
Mantoloking Boro,Ocean,2023,0.4,"1,060",468,93.60%,0.20%,6.20%,0.00%,0.00%,0.00%,0.00%,0.00%,"250,000+",3.90%,8,563,6,424,184,43%,99%,1%,Yes,12,76,58,11,39,23,66,41,19,79,418,6,0,0,0,0,0,0,0,92.40%,3.80%,1.10%,0.00%,0.00%,0.00%,0.00%,0.00%,2.70%,2,49,67,66,200,38.50%,6.00%,10.50%,0.50%,0.00%,44.50%,44.4
Mantua Twp,Gloucester,2023,16,373,"15,318",87.90%,6.50%,1.50%,0.00%,2.00%,0.00%,0.20%,1.90%,"$114,375",4.50%,28,290,191,"5,970","5,863",98%,90%,11%,,16,282,866,"1,437",847,456,462,980,266,358,"4,561",413,29,188,272,80,21,406,0,82.40%,8.30%,1.20%,6.60%,0.00%,0.80%,0.00%,0.40%,0.30%,154,"1,457","2,757","1,495","8,324",78.40%,4.10%,1.30%,1.40%,0.50%,14.20%,29.6
Manville Boro,Somerset,2023,2.4,"1,891","10,870",59.30%,8.40%,25.60%,0.00%,2.80%,0.00%,0.90%,3.10%,"$93,872",12.30%,33.9,178,163,"4,538","4,300",95%,72%,28%,,0,71,195,45,272,366,780,"1,151",785,873,"3,005",183,"1,035",95,74,146,0,0,0,88.70%,6.90%,0.50%,1.60%,0.00%,0.00%,0.30%,0.50%,1.50%,455,"1,557","1,213","1,075","5,948",71.00%,12.30%,0.80%,2.90%,3.00%,9.90%,24.4
Maple Shade Twp,Burlington,2023,3.8,"2,474","19,970",64.30%,9.10%,12.20%,0.00%,8.00%,0.00%,1.20%,5.20%,"$75,732",12.80%,35.2,158,317,"9,401","8,791",94%,48%,52%,,0,209,396,517,497,"3,025","1,221","2,023",575,938,"4,004",519,157,"1,092",798,"1,352","1,479",0,0,68.00%,24.40%,2.30%,4.30%,0.00%,0.40%,0.20%,0.10%,0.30%,666,"4,419","2,768",938,"10,081",71.60%,11.00%,1.50%,0.80%,0.70%,14.30%,24.5
Maplewood Twp,Essex,2023,3.9,"2,303","25,406",52.90%,30.50%,8.70%,0.60%,3.30%,0.00%,1.00%,3.10%,"$167,428",3.60%,21.2,443,328,"8,981","8,659",96%,77%,23%,,39,691,205,226,331,245,764,934,627,"4,919","5,401",288,"1,630",224,112,354,972,0,0,75.60%,11.50%,1.00%,10.10%,0.00%,0.00%,0.00%,0.30%,1.40%,674,"3,033","3,770","1,182","12,991",47.60%,1.20%,20.50%,0.50%,3.50%,26.60%,39
Margate City,Atlantic,2023,1.4,"4,957","5,260",94.50%,0.10%,1.90%,0.00%,2.30%,0.00%,0.00%,1.30%,"$114,417",6.20%,25.6,349,176,"6,940","2,625",38%,90%,10%,Yes,119,761,509,185,667,916,946,"1,335",462,"1,040","4,115",396,601,151,124,290,"1,263",0,0,75.50%,19.30%,1.10%,2.20%,0.00%,0.00%,0.20%,0.60%,1.10%,149,"1,093","1,041",342,"2,462",63.10%,14.00%,1.10%,1.70%,3.00%,17.10%,29.8
Marlboro Twp,Monmouth,2023,30.3,480,"41,506",66.20%,1.90%,5.40%,0.00%,22.70%,0.00%,1.50%,2.30%,"$176,076",3.80%,18.8,503,314,"14,539","14,247",98%,93%,7%,,35,462,"2,545","3,077","4,040","1,758","1,623",601,95,303,"11,709","1,407",95,100,551,240,185,252,0,90.30%,5.10%,2.00%,2.50%,0.00%,0.00%,0.10%,0.00%,0.00%,525,"2,929","6,539","4,254","20,656",56.60%,5.60%,10.10%,0.70%,0.70%,26.20%,41.9
Matawan Boro,Monmouth,2023,2.3,"1,675","9,636",59.70%,13.00%,15.70%,0.00%,1.70%,0.00%,0.00%,9.90%,"$122,026",10.10%,27.4,305,157,"3,853","3,716",96%,57%,43%,,0,437,122,217,586,696,772,273,224,526,"1,961",60,164,437,178,483,570,0,0,74.70%,19.20%,1.50%,3.60%,0.00%,0.00%,0.00%,1.00%,0.00%,182,"1,370","1,313",851,"5,130",70.10%,4.30%,6.20%,0.00%,2.20%,17.20%,30.1
Maurice River Twp,Cumberland,2023,93.2,13,"5,591",52.90%,29.20%,17.00%,0.10%,0.00%,0.00%,0.30%,0.50%,"$62,743",15.10%,52.1,35,95,"1,184","1,089",92%,76%,24%,,0,55,79,129,141,81,141,170,49,339,"1,032",49,53,7,0,0,0,43,0,33.10%,13.80%,20.60%,24.50%,1.00%,4.20%,2.80%,0.00%,0.00%,42,368,408,271,"1,008",84.90%,6.70%,0.00%,0.00%,0.00%,8.30%,29.4
Maywood Boro,Bergen,2023,1.3,"3,006","10,042",48.80%,5.20%,26.20%,0.20%,17.50%,0.00%,0.30%,1.80%,"$119,306",2.80%,27.6,300,130,"3,908","3,814",98%,69%,31%,,0,54,48,61,228,338,338,"1,069",740,"1,032","2,705",66,513,372,49,54,149,0,0,82.00%,9.80%,1.60%,5.60%,0.00%,0.20%,0.00%,0.70%,0.20%,473,979,"1,470",892,"5,032",65.60%,7.40%,11.00%,2.00%,1.30%,12.60%,29.5
Medford Lakes Boro,Burlington,2023,38.8,39,"4,267",89.80%,0.00%,2.50%,0.00%,3.10%,0.00%,0.00%,4.70%,"$151,190",1.30%,19.2,490,15,"1,516","1,464",97%,92%,9%,,0,7,9,8,18,242,533,415,101,183,"1,516",0,0,0,0,0,0,0,0,78.30%,3.70%,1.40%,16.70%,0.00%,0.00%,0.00%,0.00%,0.00%,20,224,810,410,"2,042",82.00%,0.50%,1.80%,0.00%,0.40%,15.30%,33.1
Medford Twp,Burlington,2023,1.1,"8,715","24,588",87.90%,1.40%,2.00%,0.00%,4.00%,0.00%,0.00%,4.70%,"$160,733",3.10%,18.8,504,358,"9,587","9,221",96%,89%,11%,,213,574,904,"1,358","1,913","2,609",832,523,195,466,"7,667",828,92,74,375,346,205,0,0,82.50%,8.80%,1.50%,7.00%,0.00%,0.10%,0.00%,0.20%,0.00%,287,"1,900","3,945","3,089","13,017",71.10%,2.80%,4.30%,0.20%,0.40%,21.30%,34.3
Mendham Boro,Morris,2023,5.9,309,"4,977",81.80%,0.00%,5.60%,0.00%,6.60%,0.00%,0.00%,5.90%,"$223,750",2.20%,15.6,544,90,"1,823","1,792",98%,86%,14%,,0,37,91,65,297,529,256,228,85,235,"1,438",284,17,19,7,32,26,0,0,85.90%,8.10%,0.70%,4.70%,0.00%,0.00%,0.00%,0.60%,0.00%,51,410,873,458,"2,488",59.90%,1.90%,3.60%,1.80%,1.90%,30.80%,33.1
Mendham Twp,Morris,2023,17.8,118,"5,994",79.90%,0.30%,5.50%,0.00%,5.90%,0.00%,3.70%,4.80%,"250,000+",1.90%,12.7,554,9,"2,105","2,009",95%,97%,3%,,0,69,300,347,207,333,367,174,95,213,"2,028",0,43,22,12,0,0,0,0,80.40%,9.90%,1.30%,7.90%,0.00%,0.00%,0.00%,0.40%,0.00%,10,293,966,740,"2,913",59.60%,1.30%,5.20%,0.90%,8.40%,24.60%,42.4
Merchantville Boro,Camden,2023,0.6,"2,723","3,815",61.00%,8.10%,25.20%,0.00%,2.90%,0.00%,0.00%,2.80%,"$91,607",16.70%,40,110,75,"1,634","1,501",92%,62%,38%,,0,0,101,56,14,36,169,280,170,808,717,289,287,70,11,58,202,0,0,68.90%,27.20%,0.00%,3.90%,0.00%,0.00%,0.00%,0.00%,0.00%,90,742,494,175,"1,999",69.00%,10.10%,3.00%,0.10%,0.40%,17.60%,27
Metuchen Boro,Middlesex,2023,2.8,"2,008","14,982",61.80%,5.00%,7.70%,0.10%,16.80%,0.00%,0.40%,8.20%,"$157,779",4.40%,20.9,454,410,"5,621","5,433",97%,75%,25%,,55,557,330,320,320,529,843,"1,310",525,832,"3,664",684,145,231,180,218,499,0,0,82.50%,11.40%,1.40%,3.80%,0.00%,0.00%,0.00%,0.70%,0.20%,200,"1,948","2,525",760,"7,530",51.60%,5.20%,17.60%,1.50%,0.60%,23.30%,37.6
Middle Twp,Cape May,2023,70.2,148,"20,347",77.00%,7.40%,10.20%,0.00%,1.40%,0.00%,0.20%,3.80%,"$91,040",9.70%,45,58,553,"10,397","8,843",85%,80%,20%,,245,"1,077","1,864","1,279","1,370","1,130","1,421","1,047",389,575,"7,522",952,249,78,217,63,97,"1,219",0,61.80%,16.30%,12.90%,6.90%,0.00%,0.90%,0.70%,0.30%,0.30%,478,"2,669","3,759","1,937","9,100",78.30%,7.10%,1.30%,1.60%,2.70%,9.00%,20.1
Middlesex Boro,Middlesex,2023,3.5,"1,629","14,518",54.20%,5.70%,26.30%,0.00%,11.70%,0.00%,0.30%,1.80%,"$107,063",8.00%,30.9,222,372,"5,703","5,567",98%,73%,27%,,78,370,56,457,475,500,"1,639","1,517",145,466,"3,908",400,289,251,115,171,569,0,0,83.80%,13.40%,1.40%,0.20%,0.00%,0.00%,0.30%,0.30%,0.70%,307,"1,503","2,371","1,386","7,708",80.70%,6.50%,1.60%,0.30%,1.80%,9.10%,25.7
Middletown Twp,Monmouth,2023,40.9,628,"66,849",84.20%,1.70%,8.60%,0.00%,2.40%,0.00%,0.40%,2.70%,"$141,723",3.70%,22.9,406,600,"25,701","25,114",98%,86%,14%,,113,"1,302","1,500","1,442","4,639","4,046","3,156","5,805",891,"2,807","20,023","2,196",276,568,463,888,"1,196",91,0,84.80%,10.60%,1.30%,2.70%,0.00%,0.10%,0.20%,0.10%,0.10%,"1,032","6,445","11,118","6,519","33,635",68.90%,4.20%,8.50%,0.50%,0.70%,17.20%,36.7
Midland Park Boro,Bergen,2023,1.6,"1,945","6,996",83.30%,0.90%,11.10%,0.00%,2.10%,0.00%,0.00%,2.60%,"$140,063",1.60%,22.5,410,173,"3,112","3,001",96%,70%,31%,,0,11,443,127,75,88,232,887,388,861,"2,090",94,247,273,0,27,381,0,0,79.70%,15.70%,0.70%,4.00%,0.00%,0.00%,0.00%,0.00%,0.00%,189,"1,154","1,061",597,"3,428",70.10%,6.10%,4.30%,1.10%,0.90%,17.40%,27.7
Milford Boro,Hunterdon,2023,1.2,482,"1,306",91.00%,1.80%,4.70%,0.00%,1.50%,0.00%,0.00%,1.00%,"$88,295",6.80%,35.2,157,43,578,541,94%,73%,27%,,0,0,5,19,25,105,89,87,41,207,403,68,9,51,32,15,0,0,0,0.60%,34.90%,7.90%,53.00%,0.00%,1.80%,0.00%,1.70%,0.00%,20,163,213,145,625,69.10%,9.30%,1.90%,1.80%,0.30%,17.60%,34
Millburn Twp,Essex,2023,9.3,782,"21,793",50.10%,2.80%,6.90%,0.00%,34.20%,0.00%,1.50%,4.50%,"250,000+",3.50%,12.4,556,281,"7,276","6,999",96%,81%,19%,,116,297,280,70,135,428,"1,250","1,469",732,"2,499","5,775",88,511,285,101,115,401,0,0,86.60%,9.40%,1.10%,2.50%,0.00%,0.00%,0.00%,0.00%,0.40%,163,"1,914","3,536","1,386","10,235",37.20%,2.70%,24.70%,1.30%,0.60%,33.40%,43.6
Millstone Boro,Somerset,2023,0.7,290,606,60.70%,3.30%,27.90%,0.00%,1.30%,0.00%,0.70%,6.10%,"$139,209",4.50%,25.8,345,9,203,199,98%,88%,12%,,2,0,0,5,5,0,55,77,8,51,189,0,11,1,2,0,0,0,0,93.00%,2.00%,0.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2,44,61,92,359,53.50%,36.50%,0.80%,1.40%,0.00%,7.80%,32.4
Millstone Twp,Monmouth,2023,36.6,99,"10,354",72.40%,0.70%,14.20%,0.00%,8.10%,0.00%,3.10%,1.50%,"$199,747",2.90%,18.9,499,102,"3,606","3,516",98%,93%,7%,,0,105,579,"1,400",418,576,189,178,0,161,"3,584",13,0,0,0,9,0,0,0,85.00%,3.70%,2.40%,8.00%,0.00%,0.40%,0.40%,0.30%,0.00%,189,399,901,"2,027","5,538",72.10%,5.00%,1.40%,0.70%,3.10%,17.70%,39
Milltown Boro,Middlesex,2023,1.6,"1,645","6,994",77.50%,4.60%,10.50%,0.00%,3.40%,0.00%,0.10%,4.00%,"$119,958",1.10%,22.9,404,93,"2,632","2,564",97%,76%,24%,,0,23,115,45,236,501,500,361,145,706,"2,208",0,321,32,0,12,59,0,0,88.10%,4.70%,0.00%,7.20%,0.00%,0.00%,0.00%,0.00%,0.00%,98,651,"1,216",599,"3,803",80.10%,3.50%,4.00%,0.20%,1.30%,10.80%,29
Millville City,Cumberland,2023,42,283,"27,432",57.10%,16.30%,17.50%,0.20%,2.00%,0.00%,0.50%,6.30%,"$67,190",13.00%,50.8,41,468,"11,875","11,342",96%,63%,37%,,20,673,"1,239",902,615,"1,796","1,902","1,751",704,"2,273","7,594",961,336,593,462,341,"1,188",354,46,67.90%,15.80%,1.40%,12.40%,0.00%,1.60%,0.40%,0.20%,0.30%,"1,828","4,055","3,188","2,271","12,294",78.00%,11.80%,0.80%,1.70%,2.50%,5.10%,23.8
Mine Hill Twp,Morris,2023,2.9,504,"3,993",55.60%,2.10%,30.90%,0.00%,5.70%,0.00%,1.40%,4.40%,"$113,861",4.70%,26.5,325,69,"1,463","1,389",95%,88%,12%,,0,37,10,226,169,157,199,343,121,201,"1,090",171,99,60,11,32,0,0,0,56.90%,6.60%,4.80%,28.40%,0.00%,1.40%,1.00%,0.00%,0.90%,56,151,843,339,"2,227",74.90%,6.10%,1.70%,1.50%,0.80%,15.00%,28.9
Monmouth Beach Boro,Monmouth,2023,1,"1,884","3,201",86.30%,0.60%,7.80%,0.00%,2.90%,0.00%,0.70%,1.80%,"$140,074",2.30%,18.1,514,32,"1,884","1,503",80%,81%,19%,,29,113,66,126,390,617,282,117,21,123,888,219,37,72,73,82,513,0,0,60.30%,33.50%,1.30%,2.50%,0.00%,2.30%,0.00%,0.00%,0.00%,84,434,594,391,"1,601",56.70%,2.30%,6.60%,0.60%,3.60%,30.40%,31.7
Monroe Twp (Gloucester),Gloucester,2023,46.4,313,"37,391",72.90%,10.30%,9.80%,0.00%,1.40%,0.00%,0.60%,5.00%,"$94,857",6.70%,34,176,453,"14,508","13,996",96%,82%,18%,,194,"1,287","2,440","2,347","1,900","3,108","1,375",811,312,734,"10,575",952,328,465,197,201,557,"1,233",0,81.90%,6.10%,1.80%,8.70%,0.40%,0.30%,0.10%,0.80%,0.10%,628,"4,464","4,993","3,911","18,931",79.00%,7.30%,1.30%,0.80%,0.90%,10.70%,33.5
Monroe Twp (Middlesex),Middlesex,2023,41.9,539,"48,299",65.30%,2.30%,5.70%,0.10%,24.90%,0.00%,0.40%,1.40%,"$106,892",4.00%,24.6,377,253,"22,598","21,673",96%,91%,9%,,120,"3,968","5,291","3,258","3,402","3,488","1,613",762,246,450,"14,192","6,034",559,394,349,206,852,12,0,65.90%,30.10%,1.60%,2.00%,0.00%,0.10%,0.10%,0.00%,0.20%,"1,433","8,342","8,697","3,201","19,340",61.30%,3.90%,6.20%,0.70%,1.40%,26.50%,42.1
Montague Twp,Sussex,2023,45.2,38,"3,808",83.80%,0.30%,5.50%,0.00%,6.10%,0.00%,1.20%,3.10%,"$99,521",8.30%,31.4,217,76,"1,702","1,519",89%,88%,12%,,0,27,222,190,229,468,207,230,19,110,"1,333",0,44,155,68,16,48,38,0,4.80%,27.80%,11.90%,44.60%,2.30%,4.90%,0.00%,3.60%,0.00%,23,355,705,436,"1,731",82.30%,10.50%,4.40%,0.20%,0.00%,2.70%,42.8
Montclair Twp,Essex,2023,6.2,"2,589","39,873",56.80%,18.20%,10.90%,0.00%,5.30%,0.00%,0.90%,8.00%,"$166,765",6.40%,22,417,609,"16,053","15,118",94%,60%,40%,,67,716,646,309,583,901,"1,120","1,371",894,"9,446","8,088",580,"1,691","1,405","1,132",856,"2,297",0,4,74.70%,13.30%,2.50%,7.50%,0.00%,0.00%,0.00%,0.50%,1.50%,"1,112","6,769","5,662","1,575","20,673",44.10%,4.40%,15.70%,2.90%,0.70%,32.30%,36
Montgomery Twp,Somerset,2023,32.3,266,"23,643",46.60%,3.90%,5.10%,0.10%,40.90%,0.00%,0.40%,3.00%,"$223,409",3.10%,15,547,155,"8,582","8,368",98%,85%,15%,,15,674,"1,987","2,434","1,446",391,750,259,12,614,"6,097","1,423",52,98,333,197,382,0,0,78.70%,11.00%,1.90%,7.70%,0.00%,0.00%,0.80%,0.00%,0.00%,323,"2,054","3,881","2,110","12,227",55.20%,3.70%,5.00%,3.00%,2.50%,30.60%,36.9
Montvale Boro,Bergen,2023,4,797,"8,625",72.60%,2.60%,9.20%,0.00%,13.20%,0.00%,0.00%,2.40%,"$183,664",3.80%,19,498,117,"3,188","3,086",97%,84%,16%,,44,241,345,147,226,459,834,380,70,442,"2,049",431,133,308,74,167,26,0,0,84.10%,8.70%,0.90%,6.30%,0.00%,0.00%,0.00%,0.00%,0.00%,39,942,"1,284",821,"4,007",57.40%,6.70%,5.30%,0.10%,0.80%,29.50%,31.9
Montville Twp,Morris,2023,18.6,445,"22,421",67.70%,1.30%,5.90%,0.00%,22.20%,0.00%,0.30%,2.60%,"$170,472",3.20%,19,496,372,"8,272","8,102",98%,89%,11%,,11,131,422,"1,794","1,613","1,111","1,451",893,341,505,"5,622","1,498",94,56,161,301,526,14,0,71.40%,6.50%,2.40%,16.80%,0.00%,0.00%,0.00%,2.70%,0.20%,202,"1,808","3,968","2,124","11,552",67.30%,3.50%,4.20%,0.80%,0.90%,23.30%,32.2
Moonachie Boro,Bergen,2023,1.7,579,"3,106",29.60%,0.00%,55.10%,0.40%,13.70%,0.00%,0.00%,1.20%,"$108,359",4.00%,29.5,256,186,985,937,95%,69%,31%,,0,76,108,10,155,107,172,199,62,96,527,45,45,19,0,0,0,349,0,66.30%,17.50%,5.10%,11.10%,0.00%,0.00%,0.00%,0.00%,0.00%,58,313,399,167,"1,528",64.30%,20.60%,3.10%,6.20%,2.40%,3.50%,24.5
Moorestown Twp,Burlington,2023,14.7,573,"21,411",76.30%,5.00%,5.80%,0.20%,8.70%,0.00%,0.10%,4.00%,"$154,368",5.70%,20.7,462,395,"8,418","7,908",94%,83%,17%,,56,289,"1,136","1,029",575,946,"1,028","1,045",308,"2,006","6,338","1,002",90,291,79,219,399,0,0,80.10%,16.10%,0.30%,2.80%,0.00%,0.00%,0.10%,0.30%,0.20%,431,"1,941","3,469","2,067","10,048",66.90%,3.30%,2.90%,0.70%,0.90%,25.10%,26.3
Morris Plains Boro,Morris,2023,2.6,997,"6,214",77.70%,2.10%,7.90%,0.00%,7.60%,0.00%,0.00%,4.80%,"$149,623",3.00%,23,403,82,"2,591","2,524",97%,75%,25%,,0,306,48,138,407,126,351,508,352,355,"1,844",55,17,20,256,84,289,26,0,83.80%,13.80%,0.50%,1.90%,0.00%,0.00%,0.00%,0.00%,0.00%,71,721,"1,115",617,"3,634",63.50%,3.60%,4.20%,1.20%,0.50%,27.10%,27.8
Morris Twp,Morris,2023,15.7,549,"23,239",77.70%,3.50%,10.10%,0.00%,3.80%,0.00%,1.00%,3.90%,"$194,142",4.90%,18.1,513,187,"8,616","8,442",98%,86%,14%,,37,390,177,954,"1,367",995,"1,801","1,325",210,"1,360","6,257","1,110",191,291,242,342,175,8,0,84.10%,9.80%,1.80%,3.00%,0.00%,0.00%,0.30%,0.60%,0.50%,242,"1,969","4,100","2,131","11,794",63.30%,5.10%,3.60%,1.30%,1.60%,25.10%,28.1
Morristown Town,Morris,2023,2.9,"3,213","20,256",52.60%,9.20%,29.30%,0.20%,4.70%,0.00%,0.00%,4.10%,"$115,409",9.20%,29.2,263,512,"9,318","8,907",96%,36%,64%,,43,"1,284",734,568,912,876,"1,101","1,187",557,"2,056","2,330",833,617,992,517,822,"3,133",74,0,68.90%,25.40%,1.10%,2.80%,0.00%,0.00%,0.20%,0.20%,1.40%,818,"4,080","2,864","1,145","12,013",63.20%,8.80%,3.10%,6.70%,1.40%,16.90%,24.4
Mount Arlington Boro,Morris,2023,2.1,"1,438","5,901",75.30%,3.00%,18.80%,0.00%,2.10%,0.00%,0.00%,0.80%,"$99,511",6.30%,27.8,295,37,"3,019","2,648",88%,72%,28%,,0,426,363,592,176,397,504,165,111,285,"1,475",344,108,40,77,235,740,0,0,55.70%,15.20%,2.90%,23.30%,0.00%,0.60%,0.00%,0.40%,1.80%,62,990,"1,271",325,"3,132",75.50%,7.20%,1.80%,0.00%,0.00%,15.60%,37.2
Mount Ephraim Boro,Camden,2023,0.9,"2,229","4,648",81.50%,0.50%,13.80%,0.00%,0.00%,0.00%,3.20%,1.00%,"$95,137",8.90%,37.3,127,93,"2,006","1,918",96%,66%,34%,,0,34,165,64,92,247,314,521,356,213,"1,559",53,53,60,36,91,154,0,0,78.70%,13.80%,1.30%,6.30%,0.00%,0.00%,0.00%,0.00%,0.00%,139,480,776,523,"2,420",71.80%,8.00%,2.80%,0.00%,0.00%,17.40%,24.1
Mount Holly Twp,Burlington,2023,2.8,"1,355","10,003",49.60%,24.90%,13.50%,0.10%,4.00%,0.00%,1.10%,6.80%,"$83,145",11.70%,52.2,34,237,"3,795","3,570",94%,63%,37%,,0,284,144,152,207,252,362,998,187,"1,209","1,996",747,88,444,68,129,309,14,0,73.70%,17.00%,0.20%,5.50%,0.00%,1.00%,0.30%,1.70%,0.60%,401,"1,489","1,048",632,"4,784",75.90%,10.00%,1.60%,2.40%,1.80%,8.20%,28.8
Mount Laurel Twp,Burlington,2023,21.7,920,"45,427",65.10%,12.90%,6.40%,0.10%,9.30%,0.00%,2.10%,4.10%,"$114,629",4.20%,24.1,386,476,"19,966","19,283",97%,76%,24%,,274,"1,049","2,189","4,880","5,986","2,732","1,495",840,160,361,"9,727","5,178",306,684,"1,534",940,"1,299",298,0,73.40%,21.30%,1.70%,2.60%,0.00%,0.10%,0.30%,0.30%,0.30%,419,"6,984","8,412","3,468","25,203",74.20%,3.50%,2.30%,0.80%,0.40%,18.80%,27.2
Mount Olive Twp,Morris,2023,29.6,386,"28,964",61.80%,7.20%,18.20%,0.10%,9.10%,0.00%,0.20%,3.50%,"$119,931",4.90%,27.5,303,372,"11,414","11,171",98%,61%,39%,,74,667,"1,273","1,452","1,449","2,777","1,663",976,500,583,"6,819",333,178,772,640,"1,670","1,002",0,0,61.20%,18.10%,2.20%,16.40%,0.00%,0.90%,0.20%,0.80%,0.20%,603,"3,044","5,402","2,122","16,514",74.60%,6.90%,1.00%,0.60%,0.30%,16.50%,33
